cytochrome-b	CYTB
cytochrome-B	CYTB
Cytochrome b	CYTB
Cytochrome-b	CYTB
cytochrome b gene	CYTB
cytochrome b light strand	CYTB
Cytochrome B mitochiondrial organelle	CYTB
cytochrome b (mitochondrion)	CYTB
cytochrome b oxidase	CYTB
cytochrome B oxidase	CYTB
cytochrome b oxidase subunit II	COX2
cytochrome b oxydase	CYTB
cytochrome b partial sequence	CYTB
cytochrome b protein	CYTB
cytochrome B protein	CYTB
Cytochrome b protein	CYTB
Cytochrome-b protein	CYTB
cytochrome b small subunit of mitochondrial fumarate reductase	CYTB
cytochrome b; TAA stop codon appears afterpolyadenylation	CYTB
cytochrome b type 1	CYTB
cytochrome b type 2	CYTB
cytochrome b type 3	CYTB
cytochrome b type 4	CYTB
cytochrome b type 5	CYTB
cytochrome b type 6	CYTB
cytochrome c coxidase subunit III	COX3
cytochrome co oxidase subunit III	COX3
cytochrome c oxdase subunit 2	COX2
cytochrome c oxdiase subunit I	COX1
cytochrome c oxidae subunit 1	COX1
cytochrome c oxidase 1	COX1
cytochrome c oxidase 1 subunit 1	COX1
cytochrome c oxidase 2	COX2
cytochrome C oxidase 2	COX2
cytochrome c oxidase 3	COX3
cytochrome C oxidase asubunit 3	COX3
cytochrome c oxidase chain I	COX1
cytochrome c oxidase chain II	COX2
cytochrome c oxidase	COX1
cytochrome-c oxidase	COX1
cytochrome-c oxidase	COX2
cytochrome-c oxidase	COX3
cytochrome c oxidase I	COX1
cytochrome-c oxidase I	COX1
cytochrome c oxidase II	COX2
cytochrome-c oxidase II	COX2
cytochrome-c-oxidase II	COX2
cytochrome c oxidase III	COX3
cytochrome-c oxidase III	COX3
cytochrome C oxidase II subunit	COX2
cytochrome c oxidase I subunit	COX1
cytochrome c oxidase polypeptide 1	COX1
cytochrome c oxidase polypeptide 2	COX2
cytochrome c oxidase polypeptide 3	COX3
cytochrome c oxidase polypeptide I	COX1
cytochrome c oxidase polypeptide II	COX2
cytochrome c oxidase polypeptide III	COX3
cytochrome c oxidases 1	COX1
cytochrome c oxidases subunit 1	COX1
cytochrome c oxidase subnit I	COX1
cytochrome c oxidase subnunit III	COX3
cytochrome c oxidase subumit I	COX1
cytochrome c oxidase subunit 1	COX1
cytochrome c-oxidase subunit 1	COX1
cytochrome coxidase subunit 1	COX1
cytochrome C oxidase subunit 1	COX1
Cytochrome c oxidase subunit1	COX1
cytochrome c oxidase subunit 1 (cox1)	COX1
Cytochrome C oxidase subunit 1 (COXI)	COX1
Cytochrome c oxidase subunit 1 protein	COX1
cytochrome c oxidase subunit 1 type A	COX1
cytochrome c oxidase subunit 2	COX2
cytochrome c oxidase subunit2	COX2
cytochrome c-oxidase subunit 2	COX2
cytochrome coxidase subunit 2	COX2
Cytochrome C oxidase subunit 2 (COXII)	COX2
Cytochrome c oxidase subunit 2 protein	COX2
cytochrome c oxidase subunit 3	COX3
cytochrome c-oxidase subunit 3	COX3
cytochrome coxidase subunit 3	COX3
Cytochrome c oxidase subunit3	COX3
Cytochrome c oxidase subunit 3 protein	COX3
cytochrome c oxidase subunit	COX1
cytochrome c oxidase subunite 1	COX1
cytochrome c oxidase subunit Ia	COX1
cytochrome c oxidase subunit Ib	COX1
cytochrome c oxidase subunit I, COI	COX1
cytochrome c oxidase subunit I	COX1
cytochrome coxidase subunit I	COX1
cytochrome-c oxidase subunit I	COX1
cytochrome C oxidase subunit I	COX1
cytochrome c oxidase subunit ii	COX2
cytochrome c oxidase subunit II	COX2
cytochrome c oxidase, subunit II	COX2
cytochrome coxidase subunit II	COX2
cytochrome-c oxidase subunit II	COX2
cytochrome c oxidase subunit III, CoIII	COX3
cytochrome c oxidase subunit III	COX3
cytochrome coxidase subunit III	COX3
cytochrome-c oxidase subunit III	COX3
cytochrome c oxidase subunits 1	COX1
cytochrome c oxidase subunits I	COX1
cytochrome c oxidase subunits II	COX2
cytochrome c oxidase subunits III	COX3
cytochrome c-oxidase subunit three	COX3
cytochrome c oxidase subunt 2	COX2
cytochrome c oxidase subunti I	COX1
cytochrome c oxidase sununit III	COX3
cytochrome c oxidas subunit 1	COX1
cytochrome c oxydase subunit 1	COX1
cytochrome c oxydase subunit 2	COX2
cytochrome c oxydase subunit 3	COX3
cytochrome c oxydase subunit I	COX1
cytochrome C oxydase subunit I	COX1
cytochrome c oxydase subunit II	COX2
cytochrome c oxydase subunit III	COX3
cytochrome C reductase subunit b	CYTB
cytochrome c subunit 1	COX1
